Date,Stock,Güncel Fiyat,Gelecek 3 Aylık %,Gelecek 1 Yıllık %,Gelecek 6 Aylık %,Gelecek 1 Aylık %,Gelecek 1 Haftalık %,Gelecek 1 Günlük %
2007-01-01,No Stocks Captured,,,,,,,
2007-01-02,No Stocks Captured,,,,,,,
2007-01-03,No Stocks Captured,,,,,,,
2007-01-04,No Stocks Captured,,,,,,,
2007-01-05,No Stocks Captured,,,,,,,
2007-01-08,No Stocks Captured,,,,,,,
2007-01-09,No Stocks Captured,,,,,,,
2007-01-10,No Stocks Captured,,,,,,,
2007-01-11,No Stocks Captured,,,,,,,
2007-01-12,No Stocks Captured,,,,,,,
2007-01-15,No Stocks Captured,,,,,,,
2007-01-16,No Stocks Captured,,,,,,,
2007-01-17,No Stocks Captured,,,,,,,
2007-01-18,No Stocks Captured,,,,,,,
2007-01-19,No Stocks Captured,,,,,,,
2007-01-22,No Stocks Captured,,,,,,,
2007-01-23,No Stocks Captured,,,,,,,
2007-01-24,No Stocks Captured,,,,,,,
2007-01-25,No Stocks Captured,,,,,,,
2007-01-26,BAC-PE,25.9,-0.62,-22.97,-1.54,0.04,-0.77,-1.35
2007-01-29,No Stocks Captured,,,,,,,
2007-01-30,No Stocks Captured,,,,,,,
2007-01-31,No Stocks Captured,,,,,,,
2007-02-01,No Stocks Captured,,,,,,,
2007-02-02,No Stocks Captured,,,,,,,
2007-02-05,No Stocks Captured,,,,,,,
2007-02-06,No Stocks Captured,,,,,,,
2007-02-07,No Stocks Captured,,,,,,,
2007-02-08,No Stocks Captured,,,,,,,
2007-02-09,BAC-PE,25.75,-1.55,-22.87,-4.12,0.19,-0.19,-0.0
2007-02-12,BAC-PE,25.75,-1.44,-22.95,-4.85,0.19,-0.19,0.19
2007-02-13,No Stocks Captured,,,,,,,
2007-02-14,No Stocks Captured,,,,,,,
2007-02-15,No Stocks Captured,,,,,,,
2007-02-16,No Stocks Captured,,,,,,,
2007-02-19,No Stocks Captured,,,,,,,
2007-02-20,No Stocks Captured,,,,,,,
2007-02-21,No Stocks Captured,,,,,,,
2007-02-22,TPL,16.3,-7.16,-29.82,14.21,-2.25,-2.45,1.84
2007-02-23,No Stocks Captured,,,,,,,
2007-02-26,No Stocks Captured,,,,,,,
2007-02-27,No Stocks Captured,,,,,,,
2007-02-28,No Stocks Captured,,,,,,,
2007-03-01,No Stocks Captured,,,,,,,
2007-03-02,TPL,16.0,-12.06,-23.54,-0.0,1.04,-1.67,-1.35
2007-03-05,No Stocks Captured,,,,,,,
2007-03-06,TPL,15.53,-6.66,-23.82,12.21,5.58,2.58,-0.86
2007-03-07,TPL,15.4,-2.6,-24.33,13.1,6.21,2.6,0.43
2007-03-08,TPL,15.47,-1.08,-26.08,15.78,6.47,4.31,1.72
2007-03-09,TPL,15.73,-4.03,-24.34,12.27,4.66,2.97,1.69
2007-03-12,No Stocks Captured,,,,,,,
2007-03-13,ICE,25.8,15.31,6.42,4.57,-0.82,0.68,2.26
2007-03-14,No Stocks Captured,,,,,,,
2007-03-15,No Stocks Captured,,,,,,,
2007-03-16,No Stocks Captured,,,,,,,
2007-03-19,No Stocks Captured,,,,,,,
2007-03-20,SPG-PJ,71.5,-3.22,-10.49,-9.86,-2.17,-0.7,-0.0
2007-03-21,SPG-PJ,71.5,-3.22,-11.75,-10.21,-2.21,0.7,-0.0
2007-03-22,No Stocks Captured,,,,,,,
2007-03-23,No Stocks Captured,,,,,,,
2007-03-26,TAP-A,45.19,2.9,17.5,-0.42,5.69,6.41,-0.0
2007-03-27,TAP-A,45.19,2.9,18.34,-0.42,5.69,8.33,2.59
2007-03-28,No Stocks Captured,,,,,,,
2007-03-29,No Stocks Captured,,,,,,,
2007-03-30,No Stocks Captured,,,,,,,
2007-04-02,No Stocks Captured,,,,,,,
2007-04-03,No Stocks Captured,,,,,,,
2007-04-04,TAP,47.25,-4.48,14.16,4.58,0.13,0.71,0.41
2007-04-05,No Stocks Captured,,,,,,,
2007-04-06,No Stocks Captured,,,,,,,
2007-04-09,No Stocks Captured,,,,,,,
2007-04-10,No Stocks Captured,,,,,,,
2007-04-11,No Stocks Captured,,,,,,,
2007-04-12,BB,44.7,61.22,169.98,123.4,13.07,-1.2,-1.01
2007-04-12,TAP-A,47.44,-4.09,13.41,5.35,1.18,0.67,-0.0
2007-04-12,NEOG,2.69,20.07,65.36,42.13,5.62,1.94,-0.37
2007-04-13,NEOG,2.68,20.27,64.67,46.89,6.22,1.74,0.5
2007-04-16,NEOG,2.7,19.59,54.21,50.43,8.08,1.44,0.49
2007-04-16,MCD,48.1,6.32,15.47,16.44,5.26,1.12,1.89
2007-04-17,LBTYA,17.78,23.31,-4.23,19.34,7.67,0.78,-0.0
2007-04-17,MCD,49.01,2.71,14.18,14.16,4.61,-1.1,-0.27
2007-04-18,LBTYA,17.78,24.14,-0.8,19.8,8.88,5.32,-0.03
2007-04-19,BAX,30.24,5.01,8.49,1.19,2.37,3.92,0.41
2007-04-20,LBTYA,17.88,27.14,-0.77,20.91,8.06,2.66,0.2
2007-04-20,BAX,30.37,4.72,9.6,0.7,2.43,2.29,0.82
2007-04-23,LBTYA,17.92,25.72,-0.88,20.16,9.18,2.34,-0.03
2007-04-23,BAX,30.62,4.28,8.12,-1.08,1.86,0.46,0.39
2007-04-24,BAX,30.74,3.85,6.98,-1.82,0.92,0.83,1.43
2007-04-24,SCI,12.01,6.08,-14.4,10.41,15.32,1.75,0.5
2007-04-25,BR,20.26,-1.09,-12.69,-3.41,0.44,-1.18,-0.99
2007-04-26,BAX,31.43,-3.98,6.24,-2.8,-1.56,-0.62,-1.16
2007-04-26,NXST,12.57,2.07,-53.38,-20.92,15.27,-6.68,-5.01
2007-04-27,No Stocks Captured,,,,,,,
2007-04-30,No Stocks Captured,,,,,,,
2007-05-01,No Stocks Captured,,,,,,,
2007-05-02,GME,8.45,24.29,62.84,73.11,7.75,-0.89,-0.62
2007-05-03,CNP,19.61,-14.48,-20.7,-16.57,-3.47,0.71,-0.2
2007-05-03,FSLR,57.95,85.31,354.44,142.57,17.41,18.55,15.1
2007-05-03,CF,8.21,33.05,221.58,89.5,8.94,-2.73,-2.02
2007-05-04,EXG,20.28,-9.22,-16.22,-16.12,-1.23,1.13,0.35
2007-05-04,CF,8.05,33.51,234.97,96.25,15.11,-0.0,2.29
2007-05-04,EPD,15.93,-1.66,-0.56,-0.47,-2.07,3.2,0.35
2007-05-07,ICLR,23.75,-1.18,56.15,11.05,-1.64,-3.03,-0.23
2007-05-07,EXG,20.35,-9.04,-17.3,-16.86,-1.57,0.69,0.1
2007-05-07,MKL,469.5,-1.81,-9.69,6.5,5.07,0.05,0.69
2007-05-07,TEO,23.52,-6.8,-24.7,3.66,18.37,3.7,-1.7
2007-05-07,MA,13.41,22.73,116.84,9.31,12.78,0.92,2.19
2007-05-07,NEE,15.96,-9.48,5.18,-4.1,-1.46,2.8,-0.44
2007-05-07,TAP,48.03,-7.45,10.68,12.12,-4.58,-7.04,1.87
2007-05-08,FSLR,68.82,63.57,304.78,118.19,4.37,-7.92,-0.35
2007-05-08,CHD,12.74,-3.71,7.67,-7.26,-1.12,-3.24,-0.98
2007-05-08,MA,13.7,17.33,115.99,8.23,8.87,-1.17,1.82
2007-05-08,EXG,20.37,-9.03,-17.57,-16.59,-2.41,1.13,0.59
2007-05-08,NEE,15.89,-9.17,4.92,-2.82,-3.49,2.83,0.28
2007-05-09,CNK,19.0,-13.58,-23.63,-10.0,0.16,1.32,-0.0
2007-05-09,FSLR,68.58,56.75,303.69,116.36,4.05,-6.49,0.17
2007-05-09,CCOI,23.96,21.74,-6.93,12.56,10.6,-3.21,-1.04
2007-05-10,ET,9.98,-8.84,-15.5,-12.65,1.78,0.28,-0.08
2007-05-10,ICLR,23.15,0.82,55.72,29.59,-7.3,-0.86,0.73
2007-05-11,ET,9.98,-8.42,-15.66,-12.28,1.9,0.23,0.05
2007-05-14,ICLR,23.03,4.84,58.4,28.31,-6.9,2.91,-0.24
2007-05-15,ICLR,22.98,5.03,57.91,26.27,-7.46,1.78,-0.07
2007-05-16,ICLR,22.96,3.09,59.84,26.31,-7.6,1.15,-0.04
2007-05-17,No Stocks Captured,,,,,,,
2007-05-18,No Stocks Captured,,,,,,,
2007-05-21,No Stocks Captured,,,,,,,
2007-05-22,No Stocks Captured,,,,,,,
2007-05-23,CPA,65.09,-27.87,-51.38,-49.76,0.52,-3.23,-1.67
2007-05-24,CPA,64.0,-35.86,-51.52,-47.45,3.75,-1.11,-0.63
2007-05-25,CPA,63.6,-30.28,-52.74,-48.71,2.8,-0.71,-0.0
2007-05-28,No Stocks Captured,,,,,,,
2007-05-29,ET,10.01,-10.19,-18.81,-18.79,6.12,3.57,1.02
2007-05-29,SPG-PJ,69.4,-4.03,-10.86,-17.49,-2.67,-0.0,-0.0
2007-05-29,MA,14.41,-2.71,93.5,31.06,12.33,3.57,2.13
2007-05-29,CPA,63.5,-29.13,-50.55,-46.52,7.4,-0.46,-0.8
2007-05-30,ICLR,23.89,-7.6,47.05,15.13,-9.79,-7.72,-2.91
2007-05-30,ET,10.11,-9.87,-19.86,-18.84,6.13,1.61,0.62
2007-05-30,SPG-PJ,69.4,-4.03,-10.86,-17.49,-2.67,-0.36,-0.0
2007-05-30,MA,14.71,-1.57,94.99,26.94,10.81,-0.07,1.64
2007-05-30,CPA,62.99,-27.18,-49.75,-47.93,4.54,-1.49,0.48
2007-05-31,ICLR,23.19,-4.2,56.52,23.3,-6.45,-7.48,1.12
2007-05-31,MA,14.95,-4.85,106.62,23.62,10.18,-6.78,1.04
2007-05-31,PAA,30.98,-8.3,-23.13,-17.85,2.91,-0.66,0.81
2007-05-31,ET,10.17,-9.14,-19.73,-19.78,3.59,-0.12,0.15
2007-05-31,CPA,63.29,-29.56,-46.23,-45.58,8.39,-4.66,-0.22
2007-06-01,ICLR,23.45,-3.65,50.29,23.28,-6.76,-8.19,-0.41
2007-06-01,SPG-PJ,69.4,-5.84,-13.54,-13.89,-2.74,-0.86,-0.0
2007-06-01,PAA,31.23,-6.85,-21.76,-18.35,1.92,-1.97,0.03
2007-06-01,MA,15.11,-7.46,104.27,22.35,9.77,-4.98,0.1
2007-06-04,PAA,31.24,-6.95,-21.21,-18.7,2.29,-2.26,0.32
2007-06-04,SPG-PJ,69.4,-6.2,-13.54,-14.55,-3.31,-0.65,-0.0
2007-06-04,MA,15.12,-8.6,111.57,20.26,9.87,-6.38,-1.36
2007-06-04,ET,10.26,-9.9,-21.57,-20.06,3.97,-0.63,1.07
2007-06-05,PAA,31.33,-8.68,-22.21,-19.26,1.15,-2.87,-0.43
2007-06-05,MA,14.92,-11.45,106.03,22.06,8.72,-2.61,-1.46
2007-06-05,SPG-PJ,69.4,-6.27,-13.56,-15.35,-3.75,-0.29,-0.36
2007-06-05,ET,10.36,-11.0,-22.96,-20.41,2.85,-1.98,-0.89
2007-06-06,PAA,31.2,-7.77,-22.58,-20.03,1.59,-2.47,-1.38
2007-06-06,ICLR,22.05,2.34,61.53,30.46,-1.63,-3.77,-2.65
2007-06-06,ET,10.27,-10.32,-22.83,-19.49,3.77,-0.15,-1.1
2007-06-06,MA,14.7,-9.25,102.29,23.06,10.33,2.23,-5.18
2007-06-06,SPG-PJ,69.15,-6.58,-15.69,-15.04,-3.4,0.07,-0.72
2007-06-07,PAA,30.77,-7.13,-20.67,-18.91,3.66,-0.55,-0.52
2007-06-07,ET,10.16,-10.19,-21.92,-18.6,4.53,0.89,0.05
2007-06-07,NRG,41.32,-7.77,4.91,-5.15,3.9,7.99,2.42
2007-06-07,SPG-PJ,68.65,-5.9,-15.08,-14.42,-3.5,0.8,0.22
2007-06-07,MA,13.94,-4.98,119.61,29.78,16.0,7.8,2.99
2007-06-08,ET,10.16,-9.62,-22.11,-17.76,5.04,0.17,0.25
2007-06-08,PAA,30.61,-5.99,-20.63,-17.12,4.75,0.21,-0.26
2007-06-08,NRG,42.32,-10.0,0.21,-7.51,1.58,7.99,1.18
2007-06-08,SPG-PJ,68.8,-6.32,-12.79,-15.33,-3.71,0.58,0.22
2007-06-11,No Stocks Captured,,,,,,,
2007-06-12,No Stocks Captured,,,,,,,
2007-06-13,No Stocks Captured,,,,,,,
2007-06-14,AVT,42.6,-5.42,-31.76,-18.15,-3.76,-0.89,1.22
2007-06-15,No Stocks Captured,,,,,,,
2007-06-18,No Stocks Captured,,,,,,,
2007-06-19,No Stocks Captured,,,,,,,
2007-06-20,No Stocks Captured,,,,,,,
2007-06-21,BKNG,65.85,30.86,98.79,80.17,6.32,-2.4,-1.52
2007-06-22,No Stocks Captured,,,,,,,
2007-06-25,No Stocks Captured,,,,,,,
2007-06-26,No Stocks Captured,,,,,,,
2007-06-27,SCI,12.73,0.16,-20.11,8.41,-3.93,0.08,1.02
2007-06-28,No Stocks Captured,,,,,,,
2007-06-29,NOG,52.5,-4.38,168.0,37.14,2.86,6.67,2.86
2007-07-02,No Stocks Captured,,,,,,,
2007-07-03,No Stocks Captured,,,,,,,
2007-07-04,No Stocks Captured,,,,,,,
2007-07-05,MOS,39.05,36.31,238.77,132.29,2.51,1.77,0.13
2007-07-06,No Stocks Captured,,,,,,,
2007-07-09,No Stocks Captured,,,,,,,
2007-07-10,No Stocks Captured,,,,,,,
2007-07-11,No Stocks Captured,,,,,,,
2007-07-12,No Stocks Captured,,,,,,,
2007-07-13,No Stocks Captured,,,,,,,
2007-07-16,No Stocks Captured,,,,,,,
2007-07-17,No Stocks Captured,,,,,,,
2007-07-18,No Stocks Captured,,,,,,,
2007-07-19,No Stocks Captured,,,,,,,
2007-07-20,No Stocks Captured,,,,,,,
2007-07-23,No Stocks Captured,,,,,,,
2007-07-24,No Stocks Captured,,,,,,,
2007-07-25,No Stocks Captured,,,,,,,
2007-07-26,No Stocks Captured,,,,,,,
2007-07-27,No Stocks Captured,,,,,,,
2007-07-30,No Stocks Captured,,,,,,,
2007-07-31,No Stocks Captured,,,,,,,
2007-08-01,No Stocks Captured,,,,,,,
2007-08-02,No Stocks Captured,,,,,,,
2007-08-03,No Stocks Captured,,,,,,,
2007-08-06,No Stocks Captured,,,,,,,
2007-08-07,No Stocks Captured,,,,,,,
2007-08-08,No Stocks Captured,,,,,,,
2007-08-09,No Stocks Captured,,,,,,,
2007-08-10,FCN,48.49,11.9,43.72,18.64,4.89,5.36,4.58
2007-08-13,CIG-C,3.9,3.66,-6.69,-21.95,-10.98,-15.66,-0.0
2007-08-13,CALM,8.19,30.87,167.91,63.64,25.75,-0.24,2.44
2007-08-14,CIG-C,3.9,6.1,-5.44,-21.95,-10.98,-12.2,-8.54
2007-08-15,No Stocks Captured,,,,,,,
2007-08-16,No Stocks Captured,,,,,,,
2007-08-17,No Stocks Captured,,,,,,,
2007-08-20,BKNG,75.83,32.01,32.74,39.36,14.69,6.67,1.81
2007-08-21,BKNG,77.2,40.8,28.56,27.31,16.52,-0.75,2.55
2007-08-22,No Stocks Captured,,,,,,,
2007-08-23,No Stocks Captured,,,,,,,
2007-08-24,No Stocks Captured,,,,,,,
2007-08-27,MELI,29.4,52.01,2.21,22.96,39.66,-4.35,-1.7
2007-08-28,No Stocks Captured,,,,,,,
2007-08-29,No Stocks Captured,,,,,,,
2007-08-30,No Stocks Captured,,,,,,,
2007-08-31,EXPE,59.7,-1.68,-40.84,-14.27,6.8,-1.21,-0.0
2007-09-03,No Stocks Captured,,,,,,,
2007-09-04,No Stocks Captured,,,,,,,
2007-09-05,No Stocks Captured,,,,,,,
2007-09-06,No Stocks Captured,,,,,,,
2007-09-07,No Stocks Captured,,,,,,,
2007-09-10,No Stocks Captured,,,,,,,
2007-09-11,RGEN,4.2,24.05,20.24,21.43,2.14,-0.0,2.14
2007-09-12,No Stocks Captured,,,,,,,
2007-09-13,LULU,17.51,14.19,-41.22,-17.67,28.63,13.59,-2.43
2007-09-14,No Stocks Captured,,,,,,,
2007-09-17,MASI,23.43,63.59,65.47,35.13,31.58,13.7,-0.09
2007-09-17,LULU,17.35,25.61,-41.31,-24.49,18.5,13.43,4.29
2007-09-18,LULU,18.1,29.83,-39.39,-28.18,30.66,16.85,8.65
2007-09-18,MASI,23.41,58.01,70.06,35.41,36.74,13.63,4.7
2007-09-19,LULU,19.67,18.1,-42.38,-29.34,36.79,9.41,1.17
2007-09-20,No Stocks Captured,,,,,,,
2007-09-21,No Stocks Captured,,,,,,,
2007-09-24,No Stocks Captured,,,,,,,
2007-09-25,No Stocks Captured,,,,,,,
2007-09-26,No Stocks Captured,,,,,,,
2007-09-27,No Stocks Captured,,,,,,,
2007-09-28,No Stocks Captured,,,,,,,
2007-10-01,No Stocks Captured,,,,,,,
2007-10-02,No Stocks Captured,,,,,,,
2007-10-03,MELI,42.12,72.96,-51.66,-13.7,6.08,6.7,-2.02
2007-10-04,No Stocks Captured,,,,,,,
2007-10-05,No Stocks Captured,,,,,,,
2007-10-08,No Stocks Captured,,,,,,,
2007-10-09,No Stocks Captured,,,,,,,
2007-10-10,No Stocks Captured,,,,,,,
2007-10-11,No Stocks Captured,,,,,,,
2007-10-12,No Stocks Captured,,,,,,,
2007-10-15,No Stocks Captured,,,,,,,
2007-10-16,No Stocks Captured,,,,,,,
2007-10-17,No Stocks Captured,,,,,,,
2007-10-18,No Stocks Captured,,,,,,,
2007-10-19,No Stocks Captured,,,,,,,
2007-10-22,No Stocks Captured,,,,,,,
2007-10-23,No Stocks Captured,,,,,,,
2007-10-24,No Stocks Captured,,,,,,,
2007-10-25,No Stocks Captured,,,,,,,
2007-10-26,No Stocks Captured,,,,,,,
2007-10-29,No Stocks Captured,,,,,,,
2007-10-30,No Stocks Captured,,,,,,,
2007-10-31,No Stocks Captured,,,,,,,
2007-11-01,No Stocks Captured,,,,,,,
2007-11-02,No Stocks Captured,,,,,,,
2007-11-05,No Stocks Captured,,,,,,,
2007-11-06,No Stocks Captured,,,,,,,
2007-11-07,No Stocks Captured,,,,,,,
2007-11-08,No Stocks Captured,,,,,,,
2007-11-09,No Stocks Captured,,,,,,,
2007-11-12,No Stocks Captured,,,,,,,
2007-11-13,No Stocks Captured,,,,,,,
2007-11-14,No Stocks Captured,,,,,,,
2007-11-15,No Stocks Captured,,,,,,,
2007-11-16,No Stocks Captured,,,,,,,
2007-11-19,No Stocks Captured,,,,,,,
2007-11-20,No Stocks Captured,,,,,,,
2007-11-21,No Stocks Captured,,,,,,,
2007-11-22,No Stocks Captured,,,,,,,
2007-11-23,No Stocks Captured,,,,,,,
2007-11-26,No Stocks Captured,,,,,,,
2007-11-27,No Stocks Captured,,,,,,,
2007-11-28,No Stocks Captured,,,,,,,
2007-11-29,No Stocks Captured,,,,,,,
2007-11-30,No Stocks Captured,,,,,,,
2007-12-03,No Stocks Captured,,,,,,,
2007-12-04,No Stocks Captured,,,,,,,
2007-12-05,No Stocks Captured,,,,,,,
2007-12-06,No Stocks Captured,,,,,,,
2007-12-07,No Stocks Captured,,,,,,,
2007-12-10,No Stocks Captured,,,,,,,
2007-12-11,No Stocks Captured,,,,,,,
2007-12-12,No Stocks Captured,,,,,,,
2007-12-13,No Stocks Captured,,,,,,,
2007-12-14,No Stocks Captured,,,,,,,
2007-12-17,No Stocks Captured,,,,,,,
2007-12-18,No Stocks Captured,,,,,,,
2007-12-19,No Stocks Captured,,,,,,,
2007-12-20,No Stocks Captured,,,,,,,
2007-12-21,No Stocks Captured,,,,,,,
2007-12-24,No Stocks Captured,,,,,,,
2007-12-25,No Stocks Captured,,,,,,,
2007-12-26,UTHR,50.31,-17.73,-39.24,-7.12,-9.51,-1.53,-1.43
2007-12-26,CVI,25.33,-4.97,-85.67,-2.33,-2.09,-1.3,-1.46
2007-12-26,MSCI,34.35,-22.3,-53.1,-1.05,-9.29,-1.46,6.4
2007-12-26,PRGO,36.19,2.21,-13.15,-8.07,-13.9,-6.05,-0.28
2007-12-26,BRK-B,91.4,-6.66,-31.84,-7.66,0.66,0.77,0.07
2007-12-27,CVI,24.96,-1.28,-85.46,1.44,0.72,-4.21,0.4
2007-12-27,UTHR,49.6,-15.96,-38.36,-4.48,-10.58,3.79,-0.67
2007-12-27,MSCI,36.55,-22.82,-55.92,-4.65,-11.98,-15.76,2.11
2007-12-27,BRK-B,91.46,-4.92,-31.88,-7.61,1.01,1.68,2.45
2007-12-28,CVI,25.06,-1.68,-85.24,1.92,0.84,-2.99,-0.48
2007-12-28,MSCI,37.32,-24.41,-54.18,-4.23,-14.84,-19.21,2.89
2007-12-31,FNV,15.26,26.67,12.78,47.31,27.46,8.06,-0.0
2007-12-31,CVI,24.94,2.37,-85.69,-0.08,4.01,-2.17,-0.0
2007-12-31,MSCI,38.4,-21.69,-55.65,-8.83,-13.91,-26.72,-0.0
2008-01-01,No Stocks Captured,,,,,,,
2008-01-02,No Stocks Captured,,,,,,,
2008-01-03,No Stocks Captured,,,,,,,
2008-01-04,No Stocks Captured,,,,,,,
2008-01-07,MSCI,28.14,5.72,-40.94,31.91,18.98,8.39,-5.37
2008-01-07,CVI,24.4,-5.61,-80.7,-13.11,7.62,6.56,3.24
2008-01-07,NWE,29.04,-16.08,-18.63,-8.85,0.96,-0.9,-1.21
2008-01-07,FNV,16.49,14.37,3.4,31.96,18.98,21.65,7.28
2008-01-08,MSCI,26.63,16.0,-34.43,38.45,23.43,15.32,4.24
2008-01-08,CVI,25.19,-3.97,-82.02,-17.86,-0.83,1.03,-1.03
2008-01-08,FNV,17.69,6.11,-4.47,25.44,7.18,6.33,2.49
2008-01-08,NWE,28.69,-12.76,-18.23,-9.86,-0.0,0.03,1.32
2008-01-09,PRGO,33.26,17.47,-12.78,-0.3,2.74,2.53,3.43
2008-01-09,MSCI,27.76,14.45,-36.96,35.41,13.0,5.55,6.77
2008-01-09,TAC,32.85,-4.35,-37.63,5.39,-2.01,-2.59,0.97
2008-01-09,CVI,24.93,-0.52,-81.39,-19.98,-1.36,2.33,0.8
2008-01-09,FNV,18.13,5.52,-9.76,19.31,8.05,1.88,1.93
2008-01-09,SU,53.91,-7.75,-57.87,10.65,-15.36,-12.61,-2.18
2008-01-09,TEF,33.48,-11.09,-34.78,-19.51,-16.38,-5.48,1.47
2008-01-09,NWE,29.07,-11.9,-21.02,-10.22,-0.34,-0.58,0.83
2008-01-10,No Stocks Captured,,,,,,,
2008-01-11,No Stocks Captured,,,,,,,
2008-01-14,No Stocks Captured,,,,,,,
2008-01-15,No Stocks Captured,,,,,,,
2008-01-16,No Stocks Captured,,,,,,,
2008-01-17,No Stocks Captured,,,,,,,
2008-01-18,No Stocks Captured,,,,,,,
2008-01-21,No Stocks Captured,,,,,,,
2008-01-22,No Stocks Captured,,,,,,,
2008-01-23,No Stocks Captured,,,,,,,
2008-01-24,No Stocks Captured,,,,,,,
2008-01-25,No Stocks Captured,,,,,,,
2008-01-28,No Stocks Captured,,,,,,,
2008-01-29,No Stocks Captured,,,,,,,
2008-01-30,No Stocks Captured,,,,,,,
2008-01-31,No Stocks Captured,,,,,,,
2008-02-01,No Stocks Captured,,,,,,,
2008-02-04,No Stocks Captured,,,,,,,
2008-02-05,No Stocks Captured,,,,,,,
2008-02-06,No Stocks Captured,,,,,,,
2008-02-07,No Stocks Captured,,,,,,,
2008-02-08,No Stocks Captured,,,,,,,
2008-02-11,No Stocks Captured,,,,,,,
2008-02-12,No Stocks Captured,,,,,,,
2008-02-13,No Stocks Captured,,,,,,,
2008-02-14,No Stocks Captured,,,,,,,
2008-02-15,No Stocks Captured,,,,,,,
2008-02-18,No Stocks Captured,,,,,,,
2008-02-19,No Stocks Captured,,,,,,,
2008-02-20,No Stocks Captured,,,,,,,
2008-02-21,No Stocks Captured,,,,,,,
2008-02-22,No Stocks Captured,,,,,,,
2008-02-25,BRK-B,93.12,-11.52,-49.31,-16.02,-6.77,-3.16,-0.64
2008-02-25,FNV,21.66,-11.27,1.02,-22.95,-10.76,6.33,3.09
2008-02-25,SID,19.19,32.87,-67.15,-14.43,-7.27,1.07,-2.4
2008-02-25,AMZN,3.66,12.31,-15.78,20.23,3.66,-14.79,-2.16
2008-02-25,NLY,84.0,-15.95,-32.67,-31.67,-18.95,-4.38,-0.62
2008-02-26,BRK-B,92.52,-11.35,-44.82,-17.03,-7.05,-1.1,1.25
2008-02-26,FNV,22.33,-5.96,-8.02,-27.05,-10.79,-2.19,2.51
2008-02-26,AMZN,3.58,12.6,-8.49,21.7,4.85,-8.86,-1.14
2008-02-26,NLY,83.48,-15.81,-29.61,-33.3,-17.35,-5.46,-0.48
2008-02-27,FNV,22.89,-4.98,-12.28,-24.51,-11.18,-0.92,0.57
2008-02-27,BRK-B,93.68,-13.32,-45.2,-18.77,-8.58,-1.6,-0.51
2008-02-28,FNV,23.02,-7.73,-8.64,-24.46,-15.38,-2.13,-0.04
2008-02-28,BRK-B,93.2,-11.9,-44.98,-16.46,-6.22,-2.96,0.31
2008-02-29,FNV,23.01,-6.52,-9.91,-24.42,-16.12,-4.39,0.09
2008-02-29,BRK-B,93.49,-11.65,-45.15,-14.43,-4.76,-4.55,-3.54
2008-03-03,FNV,23.03,-6.6,-10.03,-24.01,-18.11,-10.59,-5.17
2008-03-03,BRK-B,90.18,-8.41,-45.8,-12.97,-0.8,-3.24,1.46
2008-03-04,ILMN,35.09,6.04,-14.61,28.32,8.03,-8.4,-1.03
2008-03-04,FNV,21.84,-5.4,-6.23,-16.48,-14.06,-6.55,3.85
2008-03-04,BRK-B,91.5,-6.12,-48.2,-14.75,-2.95,-3.83,0.74
2008-03-05,BRK-B,92.18,-5.88,-46.84,-16.36,-5.3,-5.47,-1.89
2008-03-05,FNV,22.68,-9.39,-11.33,-17.11,-15.65,-8.51,-0.66
2008-03-05,TAC,35.59,0.51,-58.22,-3.43,-11.72,-3.6,-0.9
2008-03-05,ILMN,34.73,7.68,-9.5,31.68,7.87,-9.57,-5.25
2008-03-06,FNV,22.53,-9.32,-10.52,-10.25,-15.09,-3.55,-2.35
2008-03-06,BRK-B,90.44,-2.68,-49.14,-15.19,-3.98,-4.16,-1.33
2008-03-06,RRC,59.98,8.52,-39.11,-21.77,9.62,5.55,-2.38
2008-03-06,ILMN,32.9,15.74,-5.4,35.99,15.4,-1.01,-0.74
2008-03-06,TAC,35.27,2.01,-60.31,0.51,-10.35,-1.36,-1.05
2008-03-07,FNV,22.0,-0.14,-6.18,-13.14,-9.59,0.32,-6.41
2008-03-07,TAC,34.9,3.72,-58.77,2.21,-10.6,-1.81,-1.86
2008-03-07,BRK-B,89.24,0.81,-47.85,-13.27,-2.08,-3.23,-2.22
2008-03-07,ILMN,32.66,16.87,-4.75,36.01,17.41,-0.82,-7.48
2008-03-07,RRC,58.55,12.31,-36.84,-22.34,14.42,6.8,-2.25
2008-03-10,FNV,20.59,1.99,-1.99,-6.51,-3.4,2.72,-0.87
2008-03-10,TAC,34.25,4.03,-58.54,4.09,-9.69,-3.97,0.79
2008-03-10,BRK-B,87.26,0.62,-47.05,-11.38,0.96,-2.7,0.85
2008-03-10,ILMN,30.22,26.7,4.2,44.81,26.98,5.39,6.36
2008-03-10,RRC,57.23,14.28,-37.27,-22.52,17.95,4.49,7.09
2008-03-11,FNV,20.41,2.01,-5.88,-2.06,-2.2,0.69,1.67
2008-03-11,TAC,34.52,1.77,-57.07,3.3,-10.23,-6.84,-0.61
2008-03-11,BRK-B,88.0,1.59,-37.39,-12.45,0.34,-2.15,-0.98
2008-03-11,ILMN,32.14,19.02,2.91,29.74,18.39,5.75,-2.29
2008-03-11,RRC,61.29,6.43,-37.49,-23.23,12.09,2.12,-1.63
2008-03-12,FNV,20.75,-1.25,-1.83,-3.61,-3.66,-6.31,4.72
2008-03-12,TAC,34.31,1.25,-55.96,3.35,-10.73,-10.96,1.4
2008-03-12,ILMN,31.41,22.6,4.85,31.9,20.98,8.7,3.72
